volunteer_id,name,phone,lat,lng,skills,availability,profile_text
69ebaa55f22b29bbc890b844,Shreua,7338583996,0.0,0.0,shelter,True,Shreua is a volunteer located in Mangalore. They provide support in shelter.
69ebaa97f22b29bbc890b84f,Priya,333333333,0.0,0.0,medical,True,Priya is a volunteer located in Delhi. They provide support in medical.
69ebb637d97b0b41f173a91e,Rajesh Patil,9131994523,20.7318,78.58559,medical,True,Rajesh Patil is a volunteer located in Unknown. They provide support in medical.
69ebb637d97b0b41f173a91f,Neha Bhosale,9914763202,20.71572,77.00637,"food,education",True,Neha Bhosale is a volunteer located in Unknown. They provide support in food and education.
69ebb637d97b0b41f173a920,Girish Gaikwad,9384027113,18.96873,73.14493,"hygiene,disaster relief",True,Girish Gaikwad is a volunteer located in Unknown. They provide support in hygiene and disaster relief.
69ebb637d97b0b41f173a921,Umesh Kale,9174684276,19.09019,72.91621,"food,education",True,Umesh Kale is a volunteer located in Unknown. They provide support in food and education.
69ebb637d97b0b41f173a922,Sapna Bhat,9324956459,21.17491,79.10952,medical,True,Sapna Bhat is a volunteer located in Unknown. They provide support in medical.
69ebb637d97b0b41f173a923,Sachin Shah,9838908273,19.30908,73.06505,"elderly support,medical",True,Sachin Shah is a volunteer located in Unknown. They provide support in elderly support and medical.
69ebb637d97b0b41f173a925,Neha Nair,9902099969,20.52294,76.20907,"medical,disaster relief",True,Neha Nair is a volunteer located in Unknown. They provide support in medical and disaster relief.
69ebb637d97b0b41f173a926,Girish Shetty,9773715057,21.00166,75.54576,"elderly support,medical",True,Girish Shetty is a volunteer located in Unknown. They provide support in elderly support and medical.
69ebb637d97b0b41f173a927,Girish Yadav,9831980933,19.14749,72.94795,"medical,disaster relief",True,Girish Yadav is a volunteer located in Unknown. They provide support in medical and disaster relief.
69ebb637d97b0b41f173a928,Sachin Bhat,9918150683,16.98061,73.29961,"elderly support,medical",True,Sachin Bhat is a volunteer located in Unknown. They provide support in elderly support and medical.
69ebb637d97b0b41f173a929,Anita Naik,9669462919,18.97691,75.76854,"disaster relief,medical",True,Anita Naik is a volunteer located in Unknown. They provide support in disaster relief and medical.
69ebb637d97b0b41f173a92a,Manisha Wagh,9885879795,18.99051,72.80658,"shelter,disaster relief",True,Manisha Wagh is a volunteer located in Unknown. They provide support in shelter and disaster relief.
69ebb637d97b0b41f173a92c,Sneha Shah,9463016614,21.14414,79.1265,"hygiene,medical",True,Sneha Shah is a volunteer located in Unknown. They provide support in hygiene and medical.
69ebb637d97b0b41f173a92d,Sapna Chavan,9399012686,19.18873,72.99057,disaster relief,True,Sapna Chavan is a volunteer located in Unknown. They provide support in disaster relief.
69ebb637d97b0b41f173a92e,Bharat Salve,9201281557,20.15884,80.03193,"hygiene,shelter",True,Bharat Salve is a volunteer located in Unknown. They provide support in hygiene and shelter.
69ebb637d97b0b41f173a92f,Nisha Mane,9464323393,18.40347,76.58223,disaster relief,True,Nisha Mane is a volunteer located in Unknown. They provide support in disaster relief.
69ebb637d97b0b41f173a930,Shilpa Salve,9205128697,19.08818,72.88651,"elderly support,medical",True,Shilpa Salve is a volunteer located in Unknown. They provide support in elderly support and medical.
69ebb637d97b0b41f173a931,Sunita Desai,9519212169,20.40972,78.10038,"medical,disaster relief",True,Sunita Desai is a volunteer located in Unknown. They provide support in medical and disaster relief.
69ebb637d97b0b41f173a932,Umesh Kulkarni,9721890096,18.4206,76.57423,"food,education",True,Umesh Kulkarni is a volunteer located in Unknown. They provide support in food and education.
69ebb637d97b0b41f173a934,Arun Mehta,9726713347,19.23793,73.162,"hygiene,shelter",True,Arun Mehta is a volunteer located in Unknown. They provide support in hygiene and shelter.
69ebb637d97b0b41f173a935,Akash Pillai,9907308348,19.19666,73.10267,"hygiene,food",True,Akash Pillai is a volunteer located in Unknown. They provide support in hygiene and food.
69ebb637d97b0b41f173a936,Sunita Deshpande,9362298393,19.12511,74.77927,medical,True,Sunita Deshpande is a volunteer located in Unknown. They provide support in medical.
69ebb637d97b0b41f173a938,Anita Shetty,9838194420,19.17307,72.87178,"food,education",True,Anita Shetty is a volunteer located in Unknown. They provide support in food and education.
69ebb637d97b0b41f173a939,Jyoti Nimbalkar,9927982963,20.51427,76.20869,disaster relief,True,Jyoti Nimbalkar is a volunteer located in Unknown. They provide support in disaster relief.
